,Date,Price,CVol,Change,% Change,% Return,Total Return (Gross),Cumulative Return %,Open,High,Low,Cumulative Change %,t,time,daily return
360,08/12/21,722.25,17681690,14.43,2.04,2.04,722.25,459.6,706.34,722.80,699.40,459.6,2021-08-12,2021.6082191780822,2.04
361,08/13/21,717.17,16731470,-5.08,-0.7,-0.7,717.17,455.66,723.71,729.90,714.34,455.66,2021-08-13,2021.6109589041096,-0.7
362,08/16/21,686.17,23103300,-31.0,-4.32,-4.32,686.17,431.64,705.07,709.50,676.40,431.64,2021-08-16,2021.6191780821919,-4.32
363,08/17/21,665.71,23721280,-20.46,-2.98,-2.98,665.71,415.79,672.66,674.58,648.84,415.79,2021-08-17,2021.6219178082192,-2.98
364,08/18/21,688.99,20349380,23.28,3.5,3.5,688.99,433.83,669.75,695.77,669.35,433.83,2021-08-18,2021.6246575342466,3.5
365,08/19/21,673.47,14313490,-15.52,-2.25,-2.25,673.47,421.8,678.21,686.55,667.59,421.8,2021-08-19,2021.627397260274,-2.25
366,08/20/21,680.26,14841870,6.79,1.01,1.01,680.26,427.06,682.85,692.13,673.70,427.06,2021-08-20,2021.6301369863013,1.01
367,08/23/21,706.30,20264860,26.04,3.83,3.83,706.30,447.24,685.44,712.13,680.75,447.24,2021-08-23,2021.6383561643836,3.83
368,08/24/21,708.49,13083070,2.19,0.31,0.31,708.49,448.94,710.68,715.22,702.64,448.94,2021-08-24,2021.641095890411,0.31
369,08/25/21,711.20,12645560,2.71,0.38,0.38,711.20,451.04,707.03,716.97,704.00,451.04,2021-08-25,2021.6438356164383,0.38
370,08/26/21,701.16,13214290,-10.04,-1.41,-1.41,701.16,443.26,708.31,715.40,697.62,443.26,2021-08-26,2021.6465753424657,-1.41
371,08/27/21,711.92,13833760,10.76,1.53,1.53,711.92,451.59,705.00,715.00,702.10,451.59,2021-08-27,2021.6493150684933,1.53
372,08/30/21,730.91,18604220,18.99,2.67,2.67,730.91,466.31,714.72,731.00,712.73,466.31,2021-08-30,2021.6575342465753,2.67
373,08/31/21,735.72,20855440,4.81,0.66,0.66,735.72,470.03,733.00,740.39,726.44,470.03,2021-08-31,2021.6602739726027,0.66
374,09/01/21,734.09,13204340,-1.63,-0.22,-0.22,734.09,468.77,734.08,741.99,731.27,468.77,2021-09-01,2021.6602739726027,-0.22
375,09/02/21,732.39,12796740,-1.7,-0.23,-0.23,732.39,467.45,734.50,740.97,730.54,467.45,2021-09-02,2021.66301369863,-0.23
376,09/03/21,733.57,15271050,1.18,0.16,0.16,733.57,468.37,732.25,734.00,724.20,468.37,2021-09-03,2021.6657534246576,0.16
377,09/07/21,752.92,20039830,19.35,2.64,2.64,752.92,483.36,740.00,760.20,739.26,483.36,2021-09-07,2021.676712328767,2.64
378,09/08/21,753.87,18793040,0.95,0.13,0.13,753.87,484.1,761.58,764.45,740.77,484.1,2021-09-08,2021.6794520547944,0.13
379,09/09/21,754.86,14077730,0.99,0.13,0.13,754.86,484.86,753.41,762.10,751.63,484.86,2021-09-09,2021.682191780822,0.13
380,09/10/21,736.27,15184170,-18.59,-2.46,-2.46,736.27,470.46,759.60,762.61,734.52,470.46,2021-09-10,2021.6849315068494,-2.46
381,09/13/21,743.00,22952480,6.73,0.91,0.91,743.00,475.67,740.21,744.78,708.85,475.67,2021-09-13,2021.6931506849314,0.91
382,09/14/21,744.49,18524880,1.49,0.2,0.2,744.49,476.83,742.57,754.47,736.40,476.83,2021-09-14,2021.695890410959,0.2
383,09/15/21,755.83,15357690,11.34,1.52,1.52,755.83,485.62,745.00,756.86,738.36,485.62,2021-09-15,2021.6986301369864,1.52
384,09/16/21,756.99,13923390,1.16,0.15,0.15,756.99,486.51,752.83,758.91,747.61,486.51,2021-09-16,2021.7013698630137,0.15
385,09/17/21,759.49,28204180,2.5,0.33,0.33,759.49,488.45,757.15,761.04,750.00,488.45,2021-09-17,2021.704109589041,0.33
386,09/20/21,730.17,24757650,-29.32,-3.86,-3.86,730.17,465.73,734.56,742.00,718.62,465.73,2021-09-20,2021.7123287671234,-3.86
387,09/21/21,739.38,16330720,9.21,1.26,1.26,739.38,472.87,734.79,744.74,730.44,472.87,2021-09-21,2021.7150684931507,1.26
388,09/22/21,751.94,15126270,12.56,1.7,1.7,751.94,482.6,743.53,753.67,739.12,482.6,2021-09-22,2021.717808219178,1.7
389,09/23/21,753.64,11947530,1.7,0.23,0.23,753.64,483.92,755.00,758.20,747.92,483.92,2021-09-23,2021.7205479452055,0.23
390,09/24/21,774.39,21373020,20.75,2.75,2.75,774.39,500.0,745.89,774.80,744.56,500.0,2021-09-24,2021.7232876712328,2.75
391,09/27/21,791.36,28070660,16.97,2.19,2.19,791.36,513.14,773.12,799.00,769.31,513.14,2021-09-27,2021.731506849315,2.19
392,09/28/21,777.56,25381420,-13.8,-1.74,-1.74,777.56,502.45,787.20,795.64,766.18,502.45,2021-09-28,2021.7342465753425,-1.74
393,09/29/21,781.31,20942880,3.75,0.48,0.48,781.31,505.36,779.80,793.50,770.68,505.36,2021-09-29,2021.7369863013698,0.48
394,09/30/21,775.48,17955960,-5.83,-0.75,-0.75,775.48,500.84,781.00,789.13,775.00,500.84,2021-09-30,2021.7397260273972,-0.75
395,10/01/21,775.22,17031410,-0.26,-0.03,-0.03,775.22,500.64,778.40,780.78,763.59,500.64,2021-10-01,2021.7424657534248,-0.03
396,10/04/21,781.53,30483340,6.31,0.81,0.81,781.53,505.53,796.50,806.97,776.12,505.53,2021-10-04,2021.7506849315068,0.81
397,10/05/21,780.59,18432630,-0.94,-0.12,-0.12,780.59,504.8,784.80,797.31,774.20,504.8,2021-10-05,2021.7534246575342,-0.12
398,10/06/21,782.75,14632770,2.16,0.28,0.28,782.75,506.47,776.20,786.66,773.22,506.47,2021-10-06,2021.7561643835616,0.28
399,10/07/21,793.61,19195780,10.86,1.39,1.39,793.61,514.89,785.46,805.00,783.38,514.89,2021-10-07,2021.7589041095891,1.39
400,10/08/21,785.49,16738600,-8.12,-1.02,-1.02,785.49,508.6,796.21,796.38,780.91,508.6,2021-10-08,2021.7616438356165,-1.02
401,10/11/21,791.94,14200320,6.45,0.82,0.82,791.94,513.59,787.65,801.24,785.50,513.59,2021-10-11,2021.7698630136986,0.82
402,10/12/21,805.72,22020040,13.78,1.74,1.74,805.72,524.27,800.93,812.32,796.57,524.27,2021-10-12,2021.772602739726,1.74
403,10/13/21,811.08,14120080,5.36,0.67,0.67,811.08,528.42,810.47,815.41,805.78,528.42,2021-10-13,2021.7753424657535,0.67
404,10/14/21,818.32,12247170,7.24,0.89,0.89,818.32,534.03,815.49,820.25,813.35,534.03,2021-10-14,2021.7780821917809,0.89
405,10/15/21,843.03,18924570,24.71,3.02,3.02,843.03,553.18,823.74,843.21,822.35,553.18,2021-10-15,2021.7808219178082,3.02
406,10/18/21,870.11,24207240,27.08,3.21,3.21,870.11,574.16,851.79,875.26,851.47,574.16,2021-10-18,2021.7890410958903,3.21
407,10/19/21,864.27,17381130,-5.84,-0.67,-0.67,864.27,569.63,877.53,877.95,862.51,569.63,2021-10-19,2021.7917808219179,-0.67
408,10/20/21,865.80,14032050,1.53,0.18,0.18,865.80,570.82,865.35,869.49,857.38,570.82,2021-10-20,2021.7945205479452,0.18
409,10/21/21,894.00,31481450,28.2,3.26,3.26,894.00,592.67,856.00,900.00,855.50,592.67,2021-10-21,2021.7972602739726,3.26
410,10/22/21,909.68,22880840,15.68,1.75,1.75,909.68,604.82,895.50,910.00,890.96,604.82,2021-10-22,2021.8,1.75
411,10/25/21,"1,024.86",62852100,115.18,12.66,12.66,"1,024.86",694.06,950.53,"1,045.02",944.20,694.06,2021-10-25,2021.8082191780823,12.66
412,10/26/21,"1,018.43",62414970,-6.43,-0.63,-0.63,"1,018.43",689.08,"1,024.69","1,094.94","1,001.44",689.08,2021-10-26,2021.8109589041096,-0.63
413,10/27/21,"1,037.86",38526460,19.43,1.91,1.91,"1,037.86",704.13,"1,039.66","1,070.88","1,030.78",704.13,2021-10-27,2021.813698630137,1.91
414,10/28/21,"1,077.04",27213170,39.18,3.78,3.78,"1,077.04",734.49,"1,068.31","1,081.00","1,054.20",734.49,2021-10-28,2021.8164383561643,3.78
415,10/29/21,"1,114.00",29918420,36.96,3.43,3.43,"1,114.00",763.12,"1,081.86","1,115.21","1,073.21",763.12,2021-10-29,2021.8191780821917,3.43
416,11/01/21,"1,208.59",56048720,94.59,8.49,8.49,"1,208.59",836.41,"1,145.00","1,209.75","1,118.66",836.41,2021-11-01,2021.8246575342466,8.49
417,11/02/21,"1,172.00",42737800,-36.59,-3.03,-3.03,"1,172.00",808.06,"1,159.36","1,208.59","1,146.00",808.06,2021-11-02,2021.827397260274,-3.03
418,11/03/21,"1,213.86",34628520,41.86,3.57,3.57,"1,213.86",840.5,"1,177.33","1,215.39","1,152.62",840.5,2021-11-03,2021.8301369863013,3.57
419,11/04/21,"1,229.91",25397410,16.05,1.32,1.32,"1,229.91",852.93,"1,234.41","1,243.49","1,217.00",852.93,2021-11-04,2021.8328767123287,1.32
420,11/05/21,"1,222.09",21628810,-7.82,-0.64,-0.64,"1,222.09",846.87,"1,228.00","1,239.87","1,208.00",846.87,2021-11-05,2021.835616438356,-0.64
421,11/08/21,"1,162.94",33445720,-59.15,-4.84,-4.84,"1,162.94",801.04,"1,149.79","1,197.00","1,133.00",801.04,2021-11-08,2021.8438356164384,-4.84
422,11/09/21,"1,023.50",59105840,-139.44,-11.99,-11.99,"1,023.50",693.01,"1,173.60","1,174.50","1,011.52",693.01,2021-11-09,2021.8465753424657,-11.99
423,11/10/21,"1,067.95",42802720,44.45,4.34,4.34,"1,067.95",727.44,"1,010.41","1,078.10",987.31,727.44,2021-11-10,2021.849315068493,4.34
424,11/11/21,"1,063.51",22396570,-4.44,-0.42,-0.42,"1,063.51",724.0,"1,102.77","1,104.97","1,054.68",724.0,2021-11-11,2021.8520547945207,-0.42
425,11/12/21,"1,033.42",25573150,-30.09,-2.83,-2.83,"1,033.42",700.69,"1,047.50","1,054.50","1,019.20",700.69,2021-11-12,2021.854794520548,-2.83
426,11/15/21,"1,013.39",34775650,-20.03,-1.94,-1.94,"1,013.39",685.17,"1,017.63","1,031.98",978.60,685.17,2021-11-15,2021.86301369863,-1.94
427,11/16/21,"1,054.73",26542360,41.34,4.08,4.08,"1,054.73",717.2,"1,003.31","1,057.20","1,002.18",717.2,2021-11-16,2021.8657534246574,4.08
428,11/17/21,"1,089.01",31445370,34.28,3.25,3.25,"1,089.01",743.76,"1,063.51","1,119.64","1,055.50",743.76,2021-11-17,2021.868493150685,3.25
429,11/18/21,"1,096.38",20898930,7.37,0.68,0.68,"1,096.38",749.47,"1,106.55","1,112.00","1,075.02",749.47,2021-11-18,2021.8712328767124,0.68
430,11/19/21,"1,137.06",21642260,40.68,3.71,3.71,"1,137.06",780.99,"1,098.87","1,138.72","1,092.70",780.99,2021-11-19,2021.8739726027397,3.71
431,11/22/21,"1,156.87",33072510,19.81,1.74,1.74,"1,156.87",796.34,"1,162.33","1,201.95","1,132.43",796.34,2021-11-22,2021.8821917808218,1.74
432,11/23/21,"1,109.03",36171700,-47.84,-4.14,-4.14,"1,109.03",759.27,"1,167.51","1,180.50","1,062.70",759.27,2021-11-23,2021.8849315068494,-4.14
433,11/24/21,"1,116.00",22560240,6.97,0.63,0.63,"1,116.00",764.67,"1,080.39","1,132.77","1,062.00",764.67,2021-11-24,2021.8876712328768,0.63
434,11/26/21,"1,081.92",11680890,-34.08,-3.05,-3.05,"1,081.92",738.27,"1,099.47","1,108.78","1,081.00",738.27,2021-11-26,2021.8931506849315,-3.05
435,11/29/21,"1,136.99",19464470,55.07,5.09,5.09,"1,136.99",780.94,"1,100.99","1,142.67","1,100.19",780.94,2021-11-29,2021.9013698630138,5.09
