,name,ticker,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id,price
139,iShares MSCI EAFE Value ETF,EFV,1100663,464288877,BATS,False,ETF,,,,,,,,USD,California; U.S.A,4bc9f8d542773a8af8e7461c4b020d53,47.95
140,2ndVote Society Defended ETF,EGIS,1811168,81386P306,BATS,False,ETF,,,,,,,,USD,Tennessee; U.S.A,d949b1b460bb81c8c6b772aa5f8f6706,33.07
142,ProShares MSCI Emerging Markets Dividend Growers ETF,EMDV,1174610,74347B847,BATS,False,ETF,,,,,,,,USD,Maryland; U.S.A,1e90d70ad6ca50c067d626c0032083dc,51.43
143,iShares MSCI Emerging Markets Multifactor ETF,EMGF,930667,46434G889,BATS,False,ETF,,,,,,,,USD,California; U.S.A,8ad211562340c7a359f54ce9953eab37,47.83
144,iShares JP Morgan EM High Yield Bond ETF,EMHY,930667,464286285,BATS,False,ETF,,,,,,,,USD,California; U.S.A,678c488a0df3be49634a94a01c346744,38.2
147,ProShares Short Term USD Emerging Markets Bond ETF,EMSH,1174610,74347B706,BATS,False,ETF,,,,,,,,USD,Maryland; U.S.A,b5486d535c9fe1874494471c03ea51b2,65.8
148,SPDR DoubleLine Emerging Markets Fixed Income ETF,EMTL,1516212,78470P309,BATS,False,ETF,,,,,,,,USD,Massachusetts; U.S.A,c4644b74d0af53dda6a1fa0e6333e6c6,45.5818
149,iShares MSCI Norway ETF,ENOR,1100663,46429B499,BATS,False,ETF,,,,,,,,USD,California; U.S.A,40d1630983d511c43b731cc7768d5cd9,28.55
150,Emles Alpha Opportunities ETF,EOPS,1755351,291361863,BATS,False,ETF,,,,,,,,USD,Texas; U.S.A,b64378dad84647cf4f0b42c8fdbee739,19.0575
151,Innovator S&P Investment Grade Preferred ETF,EPRF,1595106,45783G201 45783Y822 287711501,BATS,False,ETF,,,,,,,,USD,Illinois; U.S.A,793b392abc078d5ca9cc844d3bc6e5ca,21.66
153,Xtrackers Bloomberg US Investment Grade Corporate ESG ETF,ESCR,1503123,233051739,BATS,False,ETF,,,,,,,,USD,New York; U.S.A,141e4747d52658665aa4c536b9e8dd31,20.305
154,Xtrackers JP Morgan ESG Emerging Markets Sovereign ETF,ESEB,1503123,233051713,BATS,False,ETF,,,,,,,,USD,New York; U.S.A,99ec6922212aea76ae1208320cae263b,18.25
155,FlexShares STOXX US ESG Select Index Fund,ESG,1491978,33939L696,BATS,False,ETF,,,,,,,,USD,Illinois; U.S.A,47efa1e88161f376fe301dd607369b18,103.5904
156,FlexShares STOXX Global ESG Select Index Fund,ESGG,1491978,33939L688,BATS,False,ETF,,,,,,,,USD,Illinois; U.S.A,a795d6217ec256621a419664f35f101a,134.8896
157,Vanguard ESG US Stock ETF,ESGV,52848,921910733,BATS,False,ETF,,,,,,,,USD,Pennsylvania; U.S.A,4ba9f8d70e79f0bf3a0783dfb5205801,76.51
158,Xtrackers JP Morgan ESG USD High Yield Corporate Bond ETF,ESHY,1503123,233051747,BATS,False,ETF,,,,,,,,USD,New York; U.S.A,a6f376be35b15eef3e7884eb3ece01c0,19.9291
159,iShares ESG Aware MSCI USA Small-Cap ETF,ESML,1100663,46435U663,BATS,False,ETF,,,,,,,,USD,California; U.S.A,f29bd081f18d72f34d52c15e585661d0,36.8
160,Euclid Capital Growth ETF,EUCG,1742912,886364751,BATS,False,ETF,,,,,,,,USD,New York; U.S.A,e2465129570b045c39c68a424f2521bb,22.8386
161,ProShares MSCI Europe Dividend Growers,EUDV,1174610,74347B540,BATS,False,ETF,,,,,,,,USD,Maryland; U.S.A,dc1376c36669a90f92805d2e9e7c9a2c,46.24
163,Xtrackers Eurozone Equity ETF,EURZ,1503123,233051564,BATS,False,ETF,,,,,,,,USD,New York; U.S.A,8cb7dbc448913e7162727bfb2352172f,20.7751
167,iShares MSCI Germany Small-Cap ETF,EWGS,1100663,46429B465,BATS,False,ETF,,,,,,,,USD,California; U.S.A,55e5dbbf752fc4ac9c708361761f465e,68.3401
168,iShares MSCI United Kingdom Small-Cap ETF,EWUS,1100663,46429B416,BATS,False,ETF,,,,,,,,USD,California; U.S.A,70622137d6cfcd013ce5ae2b6b466042,37.57
170,Cambria Emerging Shareholder Yield ETF,EYLD,1529390,132061706,BATS,False,ETF,,,,,,,,USD,California; U.S.A,9ebbab04596b7abd26708d6348a06cb4,30.0
171,iShares MSCI Eurozone ETF,EZU,930667,464286608,BATS,False,ETF,,,,,,,,USD,California; U.S.A,63aac2681599f7afb2ec4d45f17b0e43,41.71
172,Cambria Global Tail Risk ETF,FAIL,1529390,132061805,BATS,False,ETF,,,,,,,,USD,California; U.S.A,34e25d372cb3cae410115bd9b6e66de4,22.5506
174,FT Cboe Vest US Equity Buffer ETF - April,FAPR,1667919,33740U885,BATS,False,ETF,,,,,,,,USD,Illinois; U.S.A,47ba023bf0fd1c853c99f8884fecc9c7,31.01
175,FT Cboe Vest US Equity Buffer ETF - August,FAUG,1667919,33740F862,BATS,False,ETF,,,,,,,,USD,Illinois; U.S.A,f7324f30d1c9aaedae1b4a4773edb99d,36.51
176,Fidelity Blue Chip Growth ETF,FBCG,945908,316092352,BATS,False,ETF,,,,,,,,USD,Massachusetts; U.S.A,1572aacb31326a8de3ecbef6c9718248,27.78
177,Fidelity Blue Chip Value ETF,FBCV,945908,316092345,BATS,False,ETF,,,,,,,,USD,Massachusetts; U.S.A,485d09b29b45faf6b83a2de133ef13a4,28.52
178,Fidelity Cloud Computing ETF,FCLD,945908,316092246,BATS,False,ETF,,,,,,,,USD,Massachusetts; U.S.A,f6a0635a3c0dbd8a9716d062d3beddeb,19.89
179,Fidelity Stocks for Inflation ETF,FCPI,945908,316092386,BATS,False,ETF,,,,,,,,USD,Massachusetts; U.S.A,5eee9c5c7cb1eb6b51db69facb369e07,32.62
180,First Trust Lunt US Factor Rotation ETF,FCTR,1329377,33733E872,BATS,False,ETF,,,,,,,,USD,Illinois; U.S.A,0deb0d2157bbe37998ecfff20e9295b7,30.63
181,FT Cboe Vest US Equity Buffer ETF - December,FDEC,1667919,33740U505,BATS,False,ETF,,,,,,,,USD,Illinois; U.S.A,3ccfa15801ee0b718f344af7743f73fb,32.6762
182,Fidelity Emerging Markets Multifactor ETF,FDEM,945908,316092543,BATS,False,ETF,,,,,,,,USD,Massachusetts; U.S.A,ff4a906e96147890992b3177cfd28708,23.95
183,Fidelity International Multifactor ETF,FDEV,945908,316092535,BATS,False,ETF,,,,,,,,USD,Massachusetts; U.S.A,0e86edf4b4a98464be1750beb3873394,26.71
