,Date,Price,CVol,Change,% Change,% Return,Total Return (Gross),Cumulative Return %,Open,High,Low,Cumulative Change %,t,time,daily return
13,03/27/20,42.81,23297900,-1.48,-3.34,-3.34,43.17,-19.55,43.66,44.03,42.4,-20.22,2020-03-27,2020.2383561643835,-3.34
14,03/30/20,45.0,23445970,2.19,5.12,5.12,45.38,-15.43,43.04,45.56,43.04,-16.14,2020-03-30,2020.2465753424656,5.12
15,03/31/20,44.25,25373930,-0.75,-1.67,-1.67,44.62,-16.84,45.07,45.51,44.06,-17.54,2020-03-31,2020.2493150684927,-1.67
16,04/01/20,42.12,21936410,-2.13,-4.81,-4.81,42.48,-20.84,42.48,43.65,41.8,-21.51,2020-04-01,2020.2493150684927,-4.81
17,04/02/20,43.95,17621880,1.83,4.34,4.34,44.32,-17.4,42.22,44.19,41.86,-18.1,2020-04-02,2020.2520547945203,4.34
18,04/03/20,43.83,14207110,-0.12,-0.27,-0.27,44.2,-17.63,43.58,44.34,43.31,-18.32,2020-04-03,2020.254794520548,-0.27
19,04/06/20,46.67,22849980,2.84,6.48,6.48,47.06,-12.29,45.39,47.01,44.69,-13.03,2020-04-06,2020.2630136986304,6.48
20,04/07/20,46.51,21279570,-0.16,-0.34,-0.34,46.9,-12.59,48.5,48.6,46.48,-13.32,2020-04-07,2020.2657534246573,-0.34
21,04/08/20,47.82,18937130,1.31,2.82,2.82,48.22,-10.13,46.64,48.09,46.33,-10.88,2020-04-08,2020.268493150685,2.82
22,04/09/20,49.0,19167280,1.18,2.47,2.47,49.41,-7.91,48.44,49.73,48.35,-8.68,2020-04-09,2020.271232876712,2.47
23,04/13/20,46.93,19586020,-2.07,-4.22,-4.22,47.33,-11.8,48.35,48.64,46.5,-12.54,2020-04-13,2020.282191780822,-4.22
24,04/14/20,48.92,21801880,1.99,4.24,4.24,49.33,-8.06,47.94,49.25,46.93,-8.83,2020-04-14,2020.2849315068493,4.24
25,04/15/20,47.61,12893170,-1.31,-2.68,-2.68,48.01,-10.52,47.71,48.4,47.41,-11.27,2020-04-15,2020.2876712328768,-2.68
26,04/16/20,47.1,17606780,-0.51,-1.07,-1.07,47.5,-11.48,47.4,47.85,46.76,-12.23,2020-04-16,2020.290410958904,-1.07
27,04/17/20,48.06,19844640,0.96,2.04,2.04,48.47,-9.68,48.3,48.3,47.37,-10.44,2020-04-17,2020.293150684932,2.04
28,04/20/20,46.53,18957920,-1.53,-3.18,-3.18,46.92,-12.55,47.79,48.0,46.31,-13.29,2020-04-20,2020.3013698630136,-3.18
29,04/21/20,45.38,26863720,-1.15,-2.47,-2.47,45.76,-14.72,45.88,46.9,44.26,-15.43,2020-04-21,2020.304109589041,-2.47
30,04/22/20,45.68,15815150,0.3,0.66,0.66,46.07,-14.15,46.05,46.15,45.5,-14.87,2020-04-22,2020.3068493150688,0.66
31,04/23/20,45.07,17668170,-0.61,-1.34,-1.34,45.45,-15.3,45.95,46.1,44.97,-16.01,2020-04-23,2020.309589041096,-1.34
32,04/24/20,45.43,15177580,0.36,0.8,0.8,45.81,-14.62,45.5,45.75,45.12,-15.34,2020-04-24,2020.3123287671235,0.8
33,04/27/20,46.78,19175540,1.35,2.97,2.97,47.18,-12.08,46.0,46.98,45.71,-12.82,2020-04-27,2020.3205479452056,2.97
34,04/28/20,46.74,17246700,-0.04,-0.09,-0.09,47.14,-12.16,47.9,48.0,46.57,-12.9,2020-04-28,2020.323287671233,-0.09
35,04/29/20,47.12,15780000,0.38,0.81,0.81,47.52,-11.45,47.27,47.86,46.88,-12.19,2020-04-29,2020.3260273972603,0.81
36,04/30/20,45.89,20801090,-1.23,-2.61,-2.61,46.28,-13.76,47.0,47.0,45.7,-14.48,2020-04-30,2020.328767123288,-2.61
37,05/01/20,45.6,14290420,-0.29,-0.63,-0.63,45.99,-14.3,45.62,46.39,45.21,-15.02,2020-05-01,2020.331506849315,-0.63
